"nb_threads","pattern","size","value","input_instance","implementation","run_instance","time"
seq,decreasing,16777216,123456,1,drake,2,2172.048363
seq,constant,1048576,123456,1,parallel,1,23.292350
seq,constant,1048576,123456,1,parallel,2,23.253587
seq,constant,1048576,123456,1,drake,1,25.070977
seq,constant,1048576,123456,1,drake,2,25.630491
seq,constant,4194304,123456,1,parallel,1,103.784866
seq,constant,4194304,123456,1,parallel,2,108.106971
seq,constant,4194304,123456,1,drake,1,156.353660
seq,constant,4194304,123456,1,drake,2,110.184457
seq,constant,16777216,123456,1,parallel,1,459.152330
seq,constant,16777216,123456,1,parallel,2,460.390510
seq,constant,16777216,123456,1,drake,1,481.472673
seq,constant,16777216,123456,1,drake,2,482.721609
2,uniform-random,1048576,123456,1,parallel,1,75.458428
2,uniform-random,1048576,123456,1,parallel,2,75.458638
2,uniform-random,1048576,123456,1,drake,1,75.753517
2,uniform-random,1048576,123456,1,drake,2,75.583169
2,uniform-random,1048576,123456,2,parallel,1,75.223057
2,uniform-random,1048576,123456,2,parallel,2,90.224045
2,uniform-random,1048576,123456,2,drake,1,78.317110
2,uniform-random,1048576,123456,2,drake,2,76.705130
2,uniform-random,4194304,123456,1,parallel,1,314.672707
2,uniform-random,4194304,123456,1,parallel,2,315.186684
2,uniform-random,4194304,123456,1,drake,1,324.209025
2,uniform-random,4194304,123456,1,drake,2,333.709513
2,uniform-random,4194304,123456,2,parallel,1,316.467886
2,uniform-random,4194304,123456,2,parallel,2,314.420015
2,uniform-random,4194304,123456,2,drake,1,323.930280
2,uniform-random,4194304,123456,2,drake,2,323.984199
2,uniform-random,16777216,123456,1,parallel,1,1355.172473
2,uniform-random,16777216,123456,1,parallel,2,1349.248862
2,uniform-random,16777216,123456,1,drake,1,1389.288348
2,uniform-random,16777216,123456,1,drake,2,1385.526663
2,uniform-random,16777216,123456,2,parallel,1,1352.525762
2,uniform-random,16777216,123456,2,parallel,2,1354.145214
2,uniform-random,16777216,123456,2,drake,1,1386.252052
2,uniform-random,16777216,123456,2,drake,2,1388.027813
2,increasing,1048576,123456,1,parallel,1,15.730569
2,increasing,1048576,123456,1,parallel,2,15.629715
2,increasing,1048576,123456,1,drake,1,16.705510
2,increasing,1048576,123456,1,drake,2,16.380390
2,increasing,4194304,123456,1,parallel,1,71.149105
2,increasing,4194304,123456,1,parallel,2,70.030985
2,increasing,4194304,123456,1,drake,1,71.793059
2,increasing,4194304,123456,1,drake,2,72.604776
2,increasing,16777216,123456,1,parallel,1,304.332982
2,increasing,16777216,123456,1,parallel,2,318.526931
2,increasing,16777216,123456,1,drake,1,311.695989
2,increasing,16777216,123456,1,drake,2,312.856713
2,decreasing,1048576,123456,1,parallel,1,62.973471
2,decreasing,1048576,123456,1,parallel,2,61.089801
2,decreasing,1048576,123456,1,drake,1,67.462013
2,decreasing,1048576,123456,1,drake,2,62.269243
2,decreasing,4194304,123456,1,parallel,1,257.539240
2,decreasing,4194304,123456,1,parallel,2,258.539813
2,decreasing,4194304,123456,1,drake,1,264.506586
2,decreasing,4194304,123456,1,drake,2,265.419646
2,decreasing,16777216,123456,1,parallel,1,1066.310862
2,decreasing,16777216,123456,1,parallel,2,1067.535352
2,decreasing,16777216,123456,1,drake,1,1087.473274
2,decreasing,16777216,123456,1,drake,2,1094.407513
2,constant,1048576,123456,1,parallel,1,12.473363
2,constant,1048576,123456,1,parallel,2,12.545022
2,constant,1048576,123456,1,drake,1,13.454589
2,constant,1048576,123456,1,drake,2,13.780198
2,constant,4194304,123456,1,parallel,1,55.651182
2,constant,4194304,123456,1,parallel,2,62.682225
2,constant,4194304,123456,1,drake,1,60.663199
2,constant,4194304,123456,1,drake,2,59.726392
2,constant,16777216,123456,1,parallel,1,242.730950
2,constant,16777216,123456,1,parallel,2,242.752671
2,constant,16777216,123456,1,drake,1,259.666942
2,constant,16777216,123456,1,drake,2,259.435552
3,uniform-random,1048576,123456,1,parallel,1,53.122790
3,uniform-random,1048576,123456,1,parallel,2,53.448608
3,uniform-random,1048576,123456,1,drake,1,57.541069
3,uniform-random,1048576,123456,1,drake,2,57.278808
3,uniform-random,1048576,123456,2,parallel,1,54.153885
3,uniform-random,1048576,123456,2,parallel,2,53.682373
3,uniform-random,1048576,123456,2,drake,1,57.879599
