"nb_threads","pattern","size","value","input_instance","implementation","run_instance","time"
3,decreasing,16777216,123456,1,parallel,1,26216.800438
3,decreasing,16777216,123456,1,parallel,2,26242.093402
3,decreasing,16777216,123456,1,drake,1,26592.286035
3,decreasing,16777216,123456,1,drake,2,26270.213155
3,constant,1048576,123456,1,parallel,1,5.848370
3,constant,1048576,123456,1,parallel,2,6.540304
3,constant,1048576,123456,1,drake,1,7.859009
3,constant,1048576,123456,1,drake,2,7.890369
3,constant,4194304,123456,1,parallel,1,27.684981
3,constant,4194304,123456,1,parallel,2,33.995013
3,constant,4194304,123456,1,drake,1,35.015768
3,constant,4194304,123456,1,drake,2,43.822267
3,constant,16777216,123456,1,parallel,1,122.396644
3,constant,16777216,123456,1,parallel,2,122.630688
3,constant,16777216,123456,1,drake,1,159.798177
3,constant,16777216,123456,1,drake,2,159.221764
4,uniform-random,1048576,123456,1,parallel,1,618.272159
4,uniform-random,1048576,123456,1,parallel,2,615.693138
4,uniform-random,1048576,123456,1,drake,1,397.028800
4,uniform-random,1048576,123456,1,drake,2,375.844243
4,uniform-random,1048576,123456,2,parallel,1,600.684235
4,uniform-random,1048576,123456,2,parallel,2,611.095656
4,uniform-random,1048576,123456,2,drake,1,393.973100
4,uniform-random,1048576,123456,2,drake,2,382.133252
4,uniform-random,4194304,123456,1,parallel,1,2948.663319
4,uniform-random,4194304,123456,1,parallel,2,2978.481653
4,uniform-random,4194304,123456,1,drake,1,1496.126644
4,uniform-random,4194304,123456,1,drake,2,1470.084020
4,uniform-random,4194304,123456,2,parallel,1,2966.199910
4,uniform-random,4194304,123456,2,parallel,2,2954.489341
4,uniform-random,4194304,123456,2,drake,1,1495.813749
4,uniform-random,4194304,123456,2,drake,2,1470.252134
4,uniform-random,16777216,123456,1,parallel,1,8010.207413
4,uniform-random,16777216,123456,1,parallel,2,8024.884775
4,uniform-random,16777216,123456,1,drake,1,5882.314534
4,uniform-random,16777216,123456,1,drake,2,5865.993634
4,uniform-random,16777216,123456,2,parallel,1,8028.813173
4,uniform-random,16777216,123456,2,parallel,2,8062.303295
4,uniform-random,16777216,123456,2,drake,1,5894.048582
4,uniform-random,16777216,123456,2,drake,2,5866.928004
4,increasing,1048576,123456,1,parallel,1,5.899007
4,increasing,1048576,123456,1,parallel,2,5.375045
4,increasing,1048576,123456,1,drake,1,5.661889
4,increasing,1048576,123456,1,drake,2,5.786699
4,increasing,4194304,123456,1,parallel,1,24.586887
4,increasing,4194304,123456,1,parallel,2,27.226951
4,increasing,4194304,123456,1,drake,1,31.327222
4,increasing,4194304,123456,1,drake,2,25.519291
4,increasing,16777216,123456,1,parallel,1,111.721567
4,increasing,16777216,123456,1,parallel,2,114.753939
4,increasing,16777216,123456,1,drake,1,110.034581
4,increasing,16777216,123456,1,drake,2,105.938360
4,decreasing,1048576,123456,1,parallel,1,1650.121159
4,decreasing,1048576,123456,1,parallel,2,1630.419997
4,decreasing,1048576,123456,1,drake,1,837.761907
4,decreasing,1048576,123456,1,drake,2,853.369782
4,decreasing,4194304,123456,1,parallel,1,6574.591548
4,decreasing,4194304,123456,1,parallel,2,6633.011276
4,decreasing,4194304,123456,1,drake,1,3350.924633
4,decreasing,4194304,123456,1,drake,2,3319.627864
4,decreasing,16777216,123456,1,parallel,1,26173.970611
4,decreasing,16777216,123456,1,parallel,2,26155.291213
4,decreasing,16777216,123456,1,drake,1,13359.063544
4,decreasing,16777216,123456,1,drake,2,13324.303131
4,constant,1048576,123456,1,parallel,1,5.803531
4,constant,1048576,123456,1,parallel,2,6.103646
4,constant,1048576,123456,1,drake,1,5.744723
4,constant,1048576,123456,1,drake,2,5.721326
4,constant,4194304,123456,1,parallel,1,26.822631
4,constant,4194304,123456,1,parallel,2,29.941887
4,constant,4194304,123456,1,drake,1,28.241909
4,constant,4194304,123456,1,drake,2,24.615942
4,constant,16777216,123456,1,parallel,1,122.107635
4,constant,16777216,123456,1,parallel,2,124.612623
4,constant,16777216,123456,1,drake,1,108.674110
4,constant,16777216,123456,1,drake,2,109.880088
